Index,Online_Slope,Batch_Slope
100,-0.0011695963982912597,-0.001555146183102032
101,-0.0010126793093279357,-0.001487852140202369
102,-0.00085099703796402,-0.0014164988678503508
103,-0.0006846112694085797,-0.001341138912705553
104,-0.0005135822060531583,-0.001261823558286697
105,-0.0003379686183112337,-0.0011786028682793368
106,-0.00016343222723776203,-0.0010915257279369174
107,1.574084686567671e-05,-0.0010006398836770235
108,0.00011823569239859519,-0.0009817495567258703
109,0.00023233388990789362,-0.0009522253937101729
110,0.0003564624482514407,-0.0009136287638147598
111,0.0004894754331211783,-0.0008670942393927931
112,0.0005800049225371235,-0.0008692827339908758
113,0.0006341528563609638,-0.0008620032001951429
114,0.0006514375042103934,-0.0008514653470472559
115,0.0006409508231126103,-0.0008735093071640548
116,0.0006435567181390063,-0.0008866554884474987
117,0.0006528925145843162,-0.0008967640941681131
118,0.000673115203844991,-0.0008992630987823876
119,0.0006983370061999824,-0.0008996937926067836
120,0.0007329335186929485,-0.0008933885408330814
121,0.0007424846695068908,-0.0009145191495285432
122,0.0007286613304341176,-0.0009287844966305872
123,0.0007192645070619553,-0.0009414077971504902
124,0.0006934263823229722,-0.0009525582311965255
125,0.0006474026261176169,-0.0009623676279130207
126,0.0005822394614659219,-0.0009662220555062312
127,0.0005259915451983044,-0.0009643659623295407
128,0.00047816395563714834,-0.0009570188637812214
129,0.00043831428574618125,-0.0009443788610284028
130,0.0004060453751648753,-0.0009266255593323406
131,0.00038099924660454004,-0.0009039225042365248
132,0.00036285201650336935,-0.0008953586216149638
133,0.0003513095993100098,-0.0008819328806271149
134,0.00034610406247931883,-0.0008637941055416888
135,0.00034259007822292443,-0.0008454797704444731
136,0.0003450648347640459,-0.0008225947635275077
137,0.0003533207909655231,-0.0007952574935294537
138,0.0003671665363255015,-0.0007678828246318977
139,0.0003821512643866137,-0.0007404244808728374
140,0.0003873500545686185,-0.0007237402954055645
141,0.0003978304204283932,-0.0007027012152598556
142,0.0003990090288342751,-0.0006774040011420931
143,0.0003911283344168881,-0.0006479395446593086
144,0.00037440769680856543,-0.0006281675113137797
145,0.0003625136912887387,-0.0006043611664911262
146,0.0003380631118802279,-0.0005806729333338216
147,0.0003013630152259987,-0.0005699390425855075
148,0.0002693425065972304,-0.0005678029518596521
149,0.0002295050322615555,-0.0005780645205867893
150,0.00019410131180667924,-0.0005843379792304903
151,0.00015907908645495546,-0.0005867042454408849
152,0.0001283666199070878,-0.0005852400409453684
153,9.797532662875304e-05,-0.0005839009562425407
154,7.179156084523556e-05,-0.0005787698675132789
155,4.9719810787798455e-05,-0.0005699135633634386
156,3.1669536965187915e-05,-0.0005682182553557512
157,1.755480661237937e-05,-0.0005629467027376416
158,7.29396117462441e-06,-0.0005541598543833506
159,8.093133399154255e-07,-0.0005419159674667735
160,-1.9731294485772766e-06,-0.0005262707890299347
161,-4.813727680961777e-06,-0.000507277722092811
162,-1.376786403260377e-05,-0.0004849879778545667
163,-1.9163854498904556e-05,-0.000459450715359041
164,-2.1065741413211487e-05,-0.00043433548329361655
165,-2.8858813130801736e-05,-0.000415294275609992
166,-3.332111112732618e-05,-0.00040585229223501457
167,-3.451031607108175e-05,-0.00039324343444108845
168,-3.248172536575321e-05,-0.0003775123450869622
169,-2.728839702843743e-05,-0.0003622171834296977
170,-1.8981282748531508e-05,-0.0003472870616381964
171,-7.60935108245105e-06,-0.00032917717241782155
172,-1.6372100605846124e-06,-0.00031634498728565626
173,3.822067708404809e-06,-0.00031219909303884836
174,4.0569442399906145e-06,-0.0003166089059643136
175,7.160956040848227e-06,-0.0003179731740210861
176,9.716115964036886e-06,-0.00031633037445380263
177,1.1787629274247003e-05,-0.0003117177411954335
178,9.008138169013276e-06,-0.000311941336085778
179,9.052652840061474e-06,-0.0003169932450884526
180,1.188248599769983e-05,-0.0003192922127903498
181,1.4178144600170383e-05,-0.00032215412813139396
182,1.9269891952292067e-05,-0.0003222453050852192
183,1.9820225113808945e-05,-0.0003268999949894926
184,1.5823954043600496e-05,-0.0003289052905991191
185,1.4404381607420164e-05,-0.00032829196976672626
186,1.5528541385304582e-05,-0.00032508991241662866
187,1.916448894822857e-05,-0.00032629435564942205
188,2.528125395663944e-05,-0.00032502607425757715
189,3.384879510376184e-05,-0.0003213127035769121
190,4.483795770395349e-05,-0.00031518110791360073
191,5.5110175072577637e-05,-0.00030665741441690363
192,6.473318024397094e-05,-0.00029886110443394184
193,7.685234963402876e-05,-0.0002886443278005468
194,8.49932661611831e-05,-0.00028554128911470326
195,9.551733489990453e-05,-0.00028309503481025925
196,0.00010839893200486429,-0.0002812368453851778
197,0.00012361311077257797,-0.0002768829755741185
198,0.0001349512818395793,-0.0002762413907067493
199,0.00014851406882587543,-0.00027321090440335903
200,0.0001582177764368973,-0.00027387470712686175
201,0.00017004050191985569,-0.0002722542515737902
202,0.00018101942915204098,-0.00027131195561424934
203,0.00019122156842305794,-0.00026805405869275047
204,0.00020362550504867872,-0.0002625015379293442
205,0.00021821004427111297,-0.00025467489929740546
206,0.00022923693877173503,-0.00024459419481510507
207,0.00024234374487059902,-0.00023227903890661063
208,0.00024904305516131053,-0.00022060467881762755
209,0.00025779509551795635,-0.00020666248153746714
210,0.00026858075555468,-0.00019330009980625767
211,0.00028138135843502654,-0.00017763653825990884
212,0.0002961786453659261,-0.00016510149298481488
213,0.00031295476081303453,-0.00015036105255934154
214,0.0003263759172914823,-0.00013874915642130378
215,0.0003416823004173282,-0.0001277888685122808
216,0.0003561070256971135,-0.00011741560628745171
217,0.0003672723439244984,-0.00011000773409174677
218,0.00038028330090893924,-0.00010046084308390092
219,0.00039003113416381856,-9.38843531848286e-05
220,0.00040153489298247583,-8.79601617376573e-05
221,0.0004070827291829556,-8.763377213342051e-05
222,0.00040672137036246544,-8.789181515855657e-05
223,0.0004031605963991281,-9.093531847571208e-05
224,0.00040125536333431846,-9.679815119154763e-05
225,0.0003961430998890511,-0.0001055142346702475
226,0.0003877909574622066,-0.00011230752325673169
227,0.00038093820240178586,-0.00011719250076919563
228,0.000375571899611551,-0.00012018338700722291
229,0.000371679379052928,-0.00012129414559350864
230,0.0003692482273589933,-0.00012053849150428321
231,0.0003682662797904551,-0.00012050158404344347
232,0.00036872161251698534,-0.00012112253936262246
233,0.0003706025352082102,-0.00011979136797174703
234,0.0003738975839195152,-0.00011652149173399111
235,0.00037410617643598564,-0.00011581544897501141
